All calculations,GG_01,GG_02,PQ_Meas_GG01_11kV,PQ_Meas_GG02_11kV,PQ_Meas_RL01_11kV,PQ_Meas_RL02_11kV,PQ_Meas_WF_11kV,PQ_Meas_ESS_TR_11kV,PQ_Meas_LV_Load_11kV,PQ_Meas_WT1_33kV,PQ_Meas_WT2_33kV,PQ_Meas_WT3_33kV,GG_01
"b:tnow in s","s:xspeed in p.u.","s:xspeed in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:ut in p.u."
-0.021063,0.999728,0.999787,17.035443,17.146579,44.735379,0.000000,11.668478,-0.290249,0.824872,3.947698,3.938703,3.957673,1.009962
-0.020341,0.999727,0.999785,17.040395,17.147326,44.739760,0.000000,11.647050,-0.270017,0.824994,3.938507,3.929338,3.946722,1.009859
-0.019641,0.999725,0.999783,17.030000,17.138381,44.732609,0.000000,11.652120,-0.263040,0.824852,3.949894,3.944689,3.961893,1.009805
-0.018916,0.999723,0.999781,17.017291,17.124542,44.734412,0.000000,11.681132,-0.263701,0.824852,3.952278,3.946476,3.958533,1.009924
-0.018168,0.999722,0.999779,17.021882,17.123994,44.725300,0.000000,11.680099,-0.276015,0.824659,3.954041,3.950325,3.960278,1.009894
-0.017520,0.999720,0.999777,17.040687,17.113704,44.744549,0.000000,11.682785,-0.267586,0.825041,3.952329,3.949257,3.965855,1.010029
-0.016799,0.999718,0.999775,17.049443,17.092264,44.731497,0.000000,11.658991,-0.244384,0.824818,3.947441,3.948680,3.954585,1.009764
-0.016088,0.999717,0.999773,17.062048,17.073028,44.735783,0.000000,11.671417,-0.245812,0.824898,3.948112,3.954079,3.957054,1.009900
-0.015372,0.999715,0.999772,17.064569,17.053702,44.746228,0.000000,11.700447,-0.247442,0.825048,3.955650,3.961208,3.965962,1.010236
-0.014677,0.999713,0.999770,17.085532,17.043618,44.743835,0.000000,11.697747,-0.258051,0.825010,3.957661,3.963347,3.960941,1.010153
-0.013960,0.999711,0.999768,17.107494,17.020184,44.766112,0.000000,11.708381,-0.244480,0.825468,3.953197,3.963175,3.955548,1.010214
-0.013274,0.999709,0.999767,17.111725,16.997445,44.732861,0.000000,11.674147,-0.225592,0.824864,3.949633,3.960877,3.955175,1.009681
-0.012537,0.999707,0.999765,17.119943,16.983713,44.751867,0.000000,11.698938,-0.225531,0.825196,3.957662,3.972323,3.962715,1.010132
-0.011837,0.999705,0.999764,17.112007,16.969410,44.733572,0.000000,11.713780,-0.236806,0.824821,3.955163,3.968809,3.963002,1.009915
-0.011175,0.999703,0.999763,17.129794,16.980070,44.752840,0.000000,11.709545,-0.241398,0.825170,3.965672,3.977784,3.973621,1.010312
-0.010468,0.999701,0.999761,17.122914,16.959278,44.749637,0.000000,11.716532,-0.223946,0.825140,3.959199,3.972175,3.956279,1.009915
-0.009731,0.999699,0.999760,17.123510,16.959166,44.736561,0.000000,11.687029,-0.208218,0.824926,3.947604,3.963379,3.951961,1.009772
-0.009034,0.999698,0.999758,17.114323,16.967417,44.758630,0.000000,11.711356,-0.209169,0.825297,3.962135,3.979102,3.969825,1.010352
