All calculations,Vmesa_ESS_690V,ESS_GC,PQ_Meas_BCs_CurrentSource,ESS_GC,ESS_GC,BC_DCLinkSide,FC_DCLinkSide
"b:tnow in s","s:u in p.u.","m:Psum:busac in MW","s:p in p.u.","s:uDC in p.u.","s:iDC in p.u.","s:i0dc in p.u.","s:i0dc in p.u."
0.105261,1.016387,-0.147838,0.095406,0.998794,-0.008200,0.035851,0.000459
0.105920,1.016779,-0.149627,0.093594,0.999173,-0.011622,0.035982,0.000461
0.106669,1.015140,-0.146127,0.080548,0.998778,-0.020419,0.036127,0.000463
0.107411,1.014108,-0.159270,0.073968,0.998307,-0.018122,0.036286,0.000465
0.108117,1.015208,-0.141531,0.064539,0.998372,-0.011049,0.036444,0.000467
0.108760,1.015765,-0.161688,0.070635,0.999045,-0.010312,0.036581,0.000469
0.109482,1.016187,-0.149592,0.071063,0.999131,-0.017614,0.036714,0.000471
0.110241,1.013929,-0.152013,0.083873,0.998599,-0.021549,0.036870,0.000473
0.110938,1.015411,-0.134893,0.094491,0.998226,-0.015596,0.037029,0.000475
0.111646,1.016109,-0.130687,0.101946,0.998497,-0.009366,0.037177,0.000477
0.112320,1.017069,-0.131079,0.096835,0.999106,-0.010692,0.037311,0.000479
0.112971,1.016153,-0.137110,0.094263,0.998974,-0.017636,0.037442,0.000481
0.113730,1.013438,-0.156561,0.078876,0.998428,-0.020770,0.037597,0.000483
0.114467,1.014535,-0.146947,0.070396,0.998186,-0.015070,0.037757,0.000485
0.115136,1.015911,-0.139584,0.070037,0.998689,-0.009243,0.037902,0.000487
